name,url,description,readme_url,last_updated,stars
facepy,https://github.com/hargup/facepy,Facepy makes it really easy to use Facebook's Graph API,https://api.github.com/repos/hargup/facepy/contents/README.md,2016-05-07T18:42:45Z,0
fatml_iiit_a,https://github.com/hargup/fatml_iiit_a,"Notes from Fairness, Accountability and Transparency in Machine Learning winter school at IIIT Allahabad",https://api.github.com/repos/hargup/fatml_iiit_a/contents/README.md,2016-12-12T04:37:48Z,3
freezing-batman,https://github.com/hargup/freezing-batman,AGV,https://api.github.com/repos/hargup/freezing-batman/contents/README.md,2014-05-28T04:57:03Z,0
gazette-of-india,https://github.com/hargup/gazette-of-india,,https://api.github.com/repos/hargup/gazette-of-india/contents/README.md,2017-07-14T16:10:22Z,1
ga_curve_fitting,https://github.com/hargup/ga_curve_fitting,,https://api.github.com/repos/hargup/ga_curve_fitting/contents/README.md,2016-09-16T12:38:36Z,0
gene-simulation,https://github.com/hargup/gene-simulation,,https://api.github.com/repos/hargup/gene-simulation/contents/README.md,2016-10-13T18:46:54Z,1
getting-started-nextjs,https://github.com/hargup/getting-started-nextjs,,https://api.github.com/repos/hargup/getting-started-nextjs/contents/README.md,2023-06-07T19:05:01Z,1
ghp-import,https://github.com/hargup/ghp-import,Easily import docs to your gh-pages branch.,https://api.github.com/repos/hargup/ghp-import/contents/README.md,2020-08-04T18:33:38Z,0
git-sandbox,https://github.com/hargup/git-sandbox,practicing git commands,https://api.github.com/repos/hargup/git-sandbox/contents/README.md,2014-10-17T11:20:27Z,0
git_tutorial,https://github.com/hargup/git_tutorial,,https://api.github.com/repos/hargup/git_tutorial/contents/README.md,2016-09-16T12:45:09Z,0
gkeepapi,https://github.com/hargup/gkeepapi,An unofficial client for the Google Keep API.,https://api.github.com/repos/hargup/gkeepapi/contents/README.md,2023-02-08T15:03:27Z,0
GPT-einops,https://github.com/hargup/GPT-einops,,https://api.github.com/repos/hargup/GPT-einops/contents/README.md,2023-03-21T05:55:08Z,0
gsheet_experiment,https://github.com/hargup/gsheet_experiment,Ping a route to increament counter in a google sheet,https://api.github.com/repos/hargup/gsheet_experiment/contents/README.md,2021-04-11T15:08:55Z,2
HackU,https://github.com/hargup/HackU,Our hack for the Yahoo HackU 2013 IIT Kharagpur,https://api.github.com/repos/hargup/HackU/contents/README.md,2016-09-14T22:06:17Z,0
hargup.github.io,https://github.com/hargup/hargup.github.io,My personal website at ,https://api.github.com/repos/hargup/hargup.github.io/contents/README.md,2022-01-22T01:58:31Z,0
helpshift-webhooks-examples,https://github.com/hargup/helpshift-webhooks-examples,Example code for using Helpshift Webhooks,https://api.github.com/repos/hargup/helpshift-webhooks-examples/contents/README.md,2020-02-28T14:11:29Z,0
instant-apps,https://github.com/hargup/instant-apps,Your search box is now an app store! 🎉,https://api.github.com/repos/hargup/instant-apps/contents/README.md,2023-06-07T19:07:15Z,1
intern_diary_2015,https://github.com/hargup/intern_diary_2015,Diary for my internship at Continuum Analytics,https://api.github.com/repos/hargup/intern_diary_2015/contents/README.md,2017-06-07T13:57:51Z,0
intern_diary_2016,https://github.com/hargup/intern_diary_2016,Diary for my 2016 Summer internship at CIS-India http://cis-india.org/,https://api.github.com/repos/hargup/intern_diary_2016/contents/README.md,2018-02-27T16:16:58Z,2
